codepoint,status,emoji,name,group,sub_group
26F9 1F3FB,fully-qualified,⛹🏻,person bouncing ball: light skin tone,People & Body,person-sport
26F9 1F3FC,fully-qualified,⛹🏼,person bouncing ball: medium-light skin tone,People & Body,person-sport
26F9 1F3FD,fully-qualified,⛹🏽,person bouncing ball: medium skin tone,People & Body,person-sport
26F9 1F3FE,fully-qualified,⛹🏾,person bouncing ball: medium-dark skin tone,People & Body,person-sport
26F9 1F3FF,fully-qualified,⛹🏿,person bouncing ball: dark skin tone,People & Body,person-sport
26F9 FE0F 200D 2642 FE0F,fully-qualified,⛹️‍♂️,man bouncing ball,People & Body,person-sport
26F9 200D 2642 FE0F,unqualified,⛹‍♂️,man bouncing ball,People & Body,person-sport
26F9 FE0F 200D 2642,unqualified,⛹️‍♂,man bouncing ball,People & Body,person-sport
26F9 200D 2642,unqualified,⛹‍♂,man bouncing ball,People & Body,person-sport
26F9 1F3FB 200D 2642 FE0F,fully-qualified,⛹🏻‍♂️,man bouncing ball: light skin tone,People & Body,person-sport
26F9 1F3FB 200D 2642,minimally-qualified,⛹🏻‍♂,man bouncing ball: light skin tone,People & Body,person-sport
26F9 1F3FC 200D 2642 FE0F,fully-qualified,⛹🏼‍♂️,man bouncing ball: medium-light skin tone,People & Body,person-sport
26F9 1F3FC 200D 2642,minimally-qualified,⛹🏼‍♂,man bouncing ball: medium-light skin tone,People & Body,person-sport
26F9 1F3FD 200D 2642 FE0F,fully-qualified,⛹🏽‍♂️,man bouncing ball: medium skin tone,People & Body,person-sport
26F9 1F3FD 200D 2642,minimally-qualified,⛹🏽‍♂,man bouncing ball: medium skin tone,People & Body,person-sport
26F9 1F3FE 200D 2642 FE0F,fully-qualified,⛹🏾‍♂️,man bouncing ball: medium-dark skin tone,People & Body,person-sport
26F9 1F3FE 200D 2642,minimally-qualified,⛹🏾‍♂,man bouncing ball: medium-dark skin tone,People & Body,person-sport
26F9 1F3FF 200D 2642 FE0F,fully-qualified,⛹🏿‍♂️,man bouncing ball: dark skin tone,People & Body,person-sport
26F9 1F3FF 200D 2642,minimally-qualified,⛹🏿‍♂,man bouncing ball: dark skin tone,People & Body,person-sport
26F9 FE0F 200D 2640 FE0F,fully-qualified,⛹️‍♀️,woman bouncing ball,People & Body,person-sport
26F9 200D 2640 FE0F,unqualified,⛹‍♀️,woman bouncing ball,People & Body,person-sport
26F9 FE0F 200D 2640,unqualified,⛹️‍♀,woman bouncing ball,People & Body,person-sport
26F9 200D 2640,unqualified,⛹‍♀,woman bouncing ball,People & Body,person-sport
26F9 1F3FB 200D 2640 FE0F,fully-qualified,⛹🏻‍♀️,woman bouncing ball: light skin tone,People & Body,person-sport
26F9 1F3FB 200D 2640,minimally-qualified,⛹🏻‍♀,woman bouncing ball: light skin tone,People & Body,person-sport
26F9 1F3FC 200D 2640 FE0F,fully-qualified,⛹🏼‍♀️,woman bouncing ball: medium-light skin tone,People & Body,person-sport
26F9 1F3FC 200D 2640,minimally-qualified,⛹🏼‍♀,woman bouncing ball: medium-light skin tone,People & Body,person-sport
26F9 1F3FD 200D 2640 FE0F,fully-qualified,⛹🏽‍♀️,woman bouncing ball: medium skin tone,People & Body,person-sport
26F9 1F3FD 200D 2640,minimally-qualified,⛹🏽‍♀,woman bouncing ball: medium skin tone,People & Body,person-sport
26F9 1F3FE 200D 2640 FE0F,fully-qualified,⛹🏾‍♀️,woman bouncing ball: medium-dark skin tone,People & Body,person-sport
26F9 1F3FE 200D 2640,minimally-qualified,⛹🏾‍♀,woman bouncing ball: medium-dark skin tone,People & Body,person-sport
26F9 1F3FF 200D 2640 FE0F,fully-qualified,⛹🏿‍♀️,woman bouncing ball: dark skin tone,People & Body,person-sport
26F9 1F3FF 200D 2640,minimally-qualified,⛹🏿‍♀,woman bouncing ball: dark skin tone,People & Body,person-sport
1F3CB FE0F,fully-qualified,🏋️,person lifting weights,People & Body,person-sport
1F3CB,unqualified,🏋,person lifting weights,People & Body,person-sport
1F3CB 1F3FB,fully-qualified,🏋🏻,person lifting weights: light skin tone,People & Body,person-sport
1F3CB 1F3FC,fully-qualified,🏋🏼,person lifting weights: medium-light skin tone,People & Body,person-sport
1F3CB 1F3FD,fully-qualified,🏋🏽,person lifting weights: medium skin tone,People & Body,person-sport
1F3CB 1F3FE,fully-qualified,🏋🏾,person lifting weights: medium-dark skin tone,People & Body,person-sport
1F3CB 1F3FF,fully-qualified,🏋🏿,person lifting weights: dark skin tone,People & Body,person-sport
